date,covidOccupiedMVBeds,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,residential_percent_change_from_baseline,year,month,day,weekend,hospitalCases_lagged,newAdmissions_lagged,grocery_and_pharmacy_percent_change_from_baseline_lagged,workplaces_percent_change_from_baseline_lagged
2020-08-20,76.0,-19.0,121.0,-40.0,11.0,2020.0,8.0,3,0,956.0,118.0,-14.0,-48.0
2020-08-21,72.0,-26.0,56.0,-40.0,12.0,2020.0,8.0,4,0,961.0,138.0,-13.0,-46.0
2020-08-22,71.0,-31.0,53.0,-32.0,4.0,2020.0,8.0,5,1,960.0,105.0,-17.0,-13.0
2020-08-23,72.0,-26.0,64.0,-29.0,2.0,2020.0,8.0,6,1,927.0,87.0,-10.0,-10.0
2020-08-24,68.0,-3.0,105.0,-38.0,10.0,2020.0,8.0,0,0,896.0,113.0,-13.0,-48.0
2020-08-25,68.0,-13.0,31.0,-45.0,13.0,2020.0,8.0,1,0,877.0,98.0,-15.0,-46.0
2020-08-26,64.0,-3.0,90.0,-38.0,11.0,2020.0,8.0,2,0,852.0,127.0,-17.0,-46.0
2020-08-27,71.0,-21.0,55.0,-42.0,12.0,2020.0,8.0,3,0,907.0,100.0,-12.0,-46.0
2020-08-28,60.0,-20.0,51.0,-37.0,11.0,2020.0,8.0,4,0,834.0,99.0,-16.0,-45.0
2020-08-29,66.0,-27.0,49.0,-29.0,3.0,2020.0,8.0,5,1,840.0,80.0,-11.0,-11.0
2020-08-30,68.0,-15.0,94.0,-23.0,1.0,2020.0,8.0,6,1,809.0,91.0,-12.0,-7.0
2020-08-31,71.0,3.0,152.0,-43.0,14.0,2020.0,8.0,0,0,798.0,124.0,-9.0,-46.0
2020-09-01,82.0,-15.0,94.0,-37.0,10.0,2020.0,9.0,1,0,805.0,110.0,-13.0,-47.0
2020-09-02,81.0,-20.0,48.0,-41.0,11.0,2020.0,9.0,2,0,781.0,95.0,-14.0,-44.0
2020-09-03,76.0,-20.0,58.0,-40.0,11.0,2020.0,9.0,3,0,794.0,107.0,-17.0,-45.0
2020-09-04,69.0,-21.0,61.0,-35.0,9.0,2020.0,9.0,4,0,790.0,71.0,-6.0,-45.0
2020-09-05,67.0,-26.0,56.0,-30.0,3.0,2020.0,9.0,5,1,810.0,74.0,-11.0,-12.0
2020-09-06,69.0,-21.0,69.0,-27.0,2.0,2020.0,9.0,6,1,814.0,90.0,-10.0,-7.0
2020-09-07,77.0,-17.0,58.0,-36.0,9.0,2020.0,9.0,0,0,759.0,119.0,-10.0,-68.0
2020-09-08,80.0,-19.0,74.0,-35.0,9.0,2020.0,9.0,1,0,773.0,130.0,-12.0,-44.0
2020-09-09,80.0,-20.0,67.0,-36.0,9.0,2020.0,9.0,2,0,777.0,148.0,-12.0,-42.0
2020-09-10,78.0,-20.0,78.0,-36.0,9.0,2020.0,9.0,3,0,770.0,135.0,-10.0,-42.0
2020-09-11,143.0,-22.0,62.0,-32.0,8.0,2020.0,9.0,4,0,775.0,108.0,-10.0,-40.0
2020-09-12,86.0,-27.0,61.0,-28.0,3.0,2020.0,9.0,5,1,861.0,74.0,-11.0,-10.0
2020-09-13,92.0,-21.0,94.0,-24.0,1.0,2020.0,9.0,6,1,850.0,87.0,-9.0,-7.0
2020-09-14,105.0,-17.0,104.0,-32.0,8.0,2020.0,9.0,0,0,880.0,132.0,-9.0,-43.0
2020-09-15,115.0,-19.0,91.0,-34.0,9.0,2020.0,9.0,1,0,900.0,145.0,-11.0,-42.0
2020-09-16,124.0,-21.0,71.0,-35.0,9.0,2020.0,9.0,2,0,721.0,143.0,-12.0,-39.0
2020-09-17,127.0,-20.0,88.0,-35.0,9.0,2020.0,9.0,3,0,760.0,154.0,-9.0,-40.0
2020-09-18,138.0,-22.0,75.0,-32.0,8.0,2020.0,9.0,4,0,788.0,129.0,-9.0,-38.0
2020-09-19,144.0,-27.0,67.0,-29.0,3.0,2020.0,9.0,5,1,928.0,136.0,-11.0,-9.0
2020-09-20,165.0,-22.0,85.0,-26.0,2.0,2020.0,9.0,6,1,1013.0,144.0,-9.0,-7.0
2020-09-21,181.0,-17.0,86.0,-34.0,8.0,2020.0,9.0,0,0,1056.0,179.0,-9.0,-36.0
2020-09-22,211.0,-22.0,64.0,-36.0,9.0,2020.0,9.0,1,0,1110.0,201.0,-11.0,-36.0
2020-09-23,228.0,-27.0,20.0,-40.0,11.0,2020.0,9.0,2,0,1169.0,213.0,-12.0,-36.0
2020-09-24,243.0,-26.0,28.0,-41.0,11.0,2020.0,9.0,3,0,1248.0,225.0,-8.0,-36.0
2020-09-25,262.0,-25.0,29.0,-37.0,10.0,2020.0,9.0,4,0,1343.0,214.0,-9.0,-35.0
2020-09-26,261.0,-28.0,28.0,-34.0,5.0,2020.0,9.0,5,1,1497.0,224.0,-11.0,-10.0
2020-09-27,276.0,-25.0,45.0,-32.0,3.0,2020.0,9.0,6,1,1574.0,254.0,-9.0,-7.0
2020-09-28,297.0,-19.0,45.0,-38.0,10.0,2020.0,9.0,0,0,1665.0,268.0,-7.0,-37.0
2020-09-29,314.0,-22.0,47.0,-38.0,10.0,2020.0,9.0,1,0,1777.0,281.0,-10.0,-36.0
2020-09-30,333.0,-26.0,4.0,-40.0,11.0,2020.0,9.0,2,0,1951.0,262.0,-13.0,-35.0
2020-10-01,341.0,-23.0,36.0,-39.0,10.0,2020.0,10.0,3,0,1958.0,261.0,-8.0,-35.0
2020-10-02,369.0,-30.0,4.0,-37.0,11.0,2020.0,10.0,4,0,2109.0,258.0,-8.0,-34.0
2020-10-03,369.0,-34.0,-20.0,-40.0,7.0,2020.0,10.0,5,1,2312.0,285.0,-11.0,-9.0
2020-10-04,369.0,-31.0,-4.0,-38.0,5.0,2020.0,10.0,6,1,2330.0,366.0,-6.0,-7.0
2020-10-05,393.0,-24.0,23.0,-37.0,10.0,2020.0,10.0,0,0,2439.0,347.0,-10.0,-35.0
2020-10-06,410.0,-26.0,20.0,-38.0,10.0,2020.0,10.0,1,0,2494.0,415.0,-12.0,-34.0
2020-10-07,442.0,-24.0,31.0,-38.0,10.0,2020.0,10.0,2,0,2631.0,417.0,-15.0,-34.0
2020-10-08,436.0,-27.0,21.0,-41.0,11.0,2020.0,10.0,3,0,2770.0,378.0,-10.0,-32.0
2020-10-09,440.0,-28.0,19.0,-37.0,10.0,2020.0,10.0,4,0,2952.0,345.0,-9.0,-32.0
2020-10-10,469.0,-31.0,14.0,-37.0,6.0,2020.0,10.0,5,1,3260.0,336.0,-9.0,-12.0
2020-10-11,477.0,-27.0,49.0,-33.0,4.0,2020.0,10.0,6,1,3531.0,434.0,-9.0,-9.0
2020-10-12,507.0,-27.0,9.0,-40.0,11.0,2020.0,10.0,0,0,3781.0,435.0,-8.0,-34.0
2020-10-13,516.0,-29.0,14.0,-41.0,11.0,2020.0,10.0,1,0,3969.0,446.0,-10.0,-34.0
2020-10-14,563.0,-27.0,23.0,-40.0,11.0,2020.0,10.0,2,0,4062.0,521.0,-13.0,-32.0
2020-10-15,581.0,-27.0,29.0,-40.0,11.0,2020.0,10.0,3,0,4237.0,531.0,-12.0,-33.0
2020-10-16,592.0,-27.0,25.0,-37.0,11.0,2020.0,10.0,4,0,4545.0,529.0,-11.0,-31.0
2020-10-17,614.0,-33.0,18.0,-40.0,7.0,2020.0,10.0,5,1,4824.0,629.0,-9.0,-8.0
2020-10-18,630.0,-30.0,36.0,-38.0,5.0,2020.0,10.0,6,1,5145.0,622.0,-7.0,-6.0
2020-10-19,658.0,-26.0,27.0,-41.0,11.0,2020.0,10.0,0,0,5438.0,724.0,-6.0,-35.0
2020-10-20,698.0,-28.0,28.0,-41.0,12.0,2020.0,10.0,1,0,5775.0,686.0,-9.0,-35.0
2020-10-21,712.0,-31.0,-2.0,-44.0,13.0,2020.0,10.0,2,0,6127.0,706.0,-13.0,-33.0
2020-10-22,708.0,-26.0,34.0,-42.0,12.0,2020.0,10.0,3,0,6362.0,708.0,-10.0,-33.0
2020-10-23,744.0,-28.0,19.0,-41.0,12.0,2020.0,10.0,4,0,6638.0,709.0,-9.0,-32.0
2020-10-24,788.0,-38.0,-10.0,-44.0,8.0,2020.0,10.0,5,1,7136.0,821.0,-11.0,-10.0
2020-10-25,828.0,-29.0,32.0,-39.0,5.0,2020.0,10.0,6,1,7656.0,879.0,-6.0,-9.0
2020-10-26,853.0,-21.0,42.0,-44.0,13.0,2020.0,10.0,0,0,7925.0,1011.0,-6.0,-35.0
2020-10-27,903.0,-27.0,10.0,-47.0,14.0,2020.0,10.0,1,0,8090.0,971.0,-12.0,-35.0
2020-10-28,957.0,-23.0,27.0,-45.0,14.0,2020.0,10.0,2,0,8653.0,1036.0,-10.0,-35.0
2020-10-29,974.0,-27.0,4.0,-48.0,15.0,2020.0,10.0,3,0,9019.0,909.0,-9.0,-34.0
2020-10-30,979.0,-26.0,25.0,-43.0,13.0,2020.0,10.0,4,0,9538.0,1015.0,-10.0,-35.0
2020-10-31,1003.0,-38.0,-15.0,-44.0,8.0,2020.0,10.0,5,1,9865.0,1081.0,-8.0,-13.0
2020-11-01,979.0,-29.0,-4.0,-40.0,5.0,2020.0,11.0,6,1,10678.0,1089.0,-9.0,-10.0
2020-11-02,1075.0,-17.0,8.0,-40.0,11.0,2020.0,11.0,0,0,11184.0,1184.0,-5.0,-45.0
2020-11-03,1144.0,-17.0,6.0,-39.0,11.0,2020.0,11.0,1,0,11321.0,1248.0,-9.0,-45.0
2020-11-04,1193.0,-11.0,19.0,-36.0,10.0,2020.0,11.0,2,0,11525.0,1267.0,-13.0,-43.0
2020-11-05,1183.0,-54.0,8.0,-52.0,16.0,2020.0,11.0,3,0,12031.0,1284.0,-7.0,-44.0
2020-11-06,1187.0,-55.0,5.0,-52.0,17.0,2020.0,11.0,4,0,11947.0,1250.0,-6.0,-42.0
2020-11-07,1207.0,-60.0,13.0,-58.0,13.0,2020.0,11.0,5,1,12815.0,1413.0,-4.0,-13.0
2020-11-08,1232.0,-60.0,5.0,-57.0,10.0,2020.0,11.0,6,1,13456.0,1532.0,-14.0,-10.0
2020-11-09,1271.0,-47.0,5.0,-50.0,15.0,2020.0,11.0,0,0,13521.0,1476.0,-12.0,-34.0
2020-11-10,1219.0,-48.0,14.0,-49.0,15.0,2020.0,11.0,1,0,13485.0,1486.0,-16.0,-33.0
2020-11-11,1268.0,-49.0,-1.0,-51.0,16.0,2020.0,11.0,2,0,13642.0,1565.0,-20.0,-31.0
2020-11-12,1275.0,-48.0,19.0,-50.0,16.0,2020.0,11.0,3,0,13991.0,1368.0,-15.0,-38.0
2020-11-13,1355.0,-49.0,7.0,-50.0,16.0,2020.0,11.0,4,0,14211.0,1444.0,-13.0,-38.0
2020-11-14,1365.0,-59.0,-29.0,-59.0,13.0,2020.0,11.0,5,1,14804.0,1489.0,-14.0,-28.0
2020-11-15,1397.0,-57.0,-5.0,-57.0,10.0,2020.0,11.0,6,1,14622.0,1555.0,-10.0,-28.0
2020-11-16,1391.0,-46.0,2.0,-50.0,15.0,2020.0,11.0,0,0,15326.0,1505.0,-8.0,-39.0
2020-11-17,1420.0,-48.0,6.0,-50.0,15.0,2020.0,11.0,1,0,15538.0,1661.0,-16.0,-39.0
2020-11-18,1430.0,-49.0,-7.0,-51.0,16.0,2020.0,11.0,2,0,15903.0,1563.0,-19.0,-38.0
2020-11-19,1426.0,-48.0,6.0,-51.0,16.0,2020.0,11.0,3,0,15976.0,1391.0,-14.0,-39.0
2020-11-20,1422.0,-50.0,-17.0,-51.0,17.0,2020.0,11.0,4,0,16535.0,1536.0,-12.0,-38.0
2020-11-21,1447.0,-56.0,-8.0,-56.0,12.0,2020.0,11.0,5,1,16975.0,1672.0,-13.0,-28.0
2020-11-22,1454.0,-53.0,25.0,-53.0,9.0,2020.0,11.0,6,1,17109.0,1750.0,-10.0,-28.0
2020-11-23,1487.0,-44.0,4.0,-50.0,15.0,2020.0,11.0,0,0,17155.0,1843.0,-8.0,-39.0
2020-11-24,1489.0,-47.0,3.0,-50.0,15.0,2020.0,11.0,1,0,17127.0,1956.0,-12.0,-39.0
2020-11-25,1480.0,-47.0,-5.0,-51.0,16.0,2020.0,11.0,2,0,16857.0,1898.0,-15.0,-38.0
2020-11-26,1456.0,-46.0,10.0,-51.0,15.0,2020.0,11.0,3,0,16726.0,1636.0,-12.0,-39.0
2020-11-27,1417.0,-47.0,-2.0,-50.0,16.0,2020.0,11.0,4,0,16921.0,1603.0,-10.0,-38.0
2020-11-28,1378.0,-55.0,-11.0,-55.0,12.0,2020.0,11.0,5,1,17333.0,1656.0,-12.0,-26.0
2020-11-29,1387.0,-53.0,5.0,-54.0,9.0,2020.0,11.0,6,1,17063.0,1753.0,-9.0,-26.0
2020-11-30,1357.0,-41.0,-9.0,-49.0,14.0,2020.0,11.0,0,0,16767.0,1701.0,-7.0,-39.0
2020-12-01,1351.0,-43.0,7.0,-48.0,14.0,2020.0,12.0,1,0,16401.0,1771.0,-12.0,-38.0
2020-12-02,1315.0,-31.0,-7.0,-45.0,13.0,2020.0,12.0,2,0,16208.0,1668.0,-15.0,-37.0
2020-12-03,1261.0,-34.0,-20.0,-46.0,14.0,2020.0,12.0,3,0,15614.0,1528.0,-9.0,-37.0
2020-12-04,1274.0,-35.0,-18.0,-44.0,14.0,2020.0,12.0,4,0,15932.0,1444.0,-7.0,-38.0
2020-12-05,1247.0,-36.0,-8.0,-41.0,8.0,2020.0,12.0,5,1,16175.0,1478.0,-6.0,-24.0
2020-12-06,1249.0,-36.0,1.0,-41.0,7.0,2020.0,12.0,6,1,15920.0,1576.0,-8.0,-24.0
2020-12-07,1271.0,-26.0,-4.0,-43.0,12.0,2020.0,12.0,0,0,15581.0,1472.0,-5.0,-37.0
2020-12-08,1272.0,-31.0,-7.0,-44.0,12.0,2020.0,12.0,1,0,15264.0,1590.0,-6.0,-36.0
2020-12-09,1243.0,-31.0,-5.0,-44.0,13.0,2020.0,12.0,2,0,15330.0,1408.0,-10.0,-32.0
2020-12-10,1267.0,-32.0,-1.0,-44.0,13.0,2020.0,12.0,3,0,15289.0,1254.0,-5.0,-33.0
2020-12-11,1275.0,-33.0,-5.0,-41.0,13.0,2020.0,12.0,4,0,15557.0,1202.0,-5.0,-33.0
2020-12-12,1243.0,-37.0,-5.0,-39.0,8.0,2020.0,12.0,5,1,16024.0,1375.0,-5.0,-13.0
2020-12-13,1281.0,-41.0,-31.0,-45.0,8.0,2020.0,12.0,6,1,16079.0,1383.0,-3.0,-13.0
2020-12-14,1288.0,-25.0,2.0,-42.0,12.0,2020.0,12.0,0,0,15942.0,1471.0,-2.0,-34.0
2020-12-15,1326.0,-25.0,10.0,-41.0,12.0,2020.0,12.0,1,0,16330.0,1464.0,-5.0,-33.0
2020-12-16,1340.0,-33.0,-14.0,-46.0,14.0,2020.0,12.0,2,0,16507.0,1482.0,-13.0,-32.0
2020-12-17,1366.0,-29.0,12.0,-44.0,13.0,2020.0,12.0,3,0,16524.0,1413.0,-2.0,-33.0
2020-12-18,1364.0,-33.0,-14.0,-45.0,15.0,2020.0,12.0,4,0,17149.0,1364.0,0.0,-32.0
2020-12-19,1412.0,-40.0,-10.0,-41.0,8.0,2020.0,12.0,5,1,17850.0,1462.0,-3.0,-12.0
2020-12-20,1442.0,-43.0,5.0,-45.0,7.0,2020.0,12.0,6,1,17804.0,1646.0,2.0,-14.0
2020-12-21,1512.0,-26.0,-8.0,-52.0,16.0,2020.0,12.0,0,0,18254.0,1759.0,-1.0,-35.0
2020-12-22,1529.0,-26.0,14.0,-52.0,16.0,2020.0,12.0,1,0,18563.0,1737.0,-3.0,-34.0
2020-12-23,1554.0,-27.0,-12.0,-54.0,18.0,2020.0,12.0,2,0,18718.0,1737.0,-7.0,-34.0
2020-12-24,1607.0,-35.0,19.0,-59.0,21.0,2020.0,12.0,3,0,19062.0,1681.0,12.0,-35.0
2020-12-25,1616.0,-92.0,-25.0,-85.0,27.0,2020.0,12.0,4,0,19595.0,1776.0,17.0,-37.0
2020-12-26,1682.0,-81.0,-34.0,-76.0,15.0,2020.0,12.0,5,1,20722.0,1745.0,23.0,-13.0
2020-12-27,1751.0,-58.0,3.0,-59.0,10.0,2020.0,12.0,6,1,21085.0,1934.0,14.0,-13.0
2020-12-28,1847.0,-51.0,16.0,-70.0,26.0,2020.0,12.0,0,0,20821.0,1925.0,-89.0,-49.0
2020-12-29,1939.0,-47.0,14.0,-64.0,24.0,2020.0,12.0,1,0,21171.0,2062.0,-63.0,-50.0
2020-12-30,2066.0,-42.0,18.0,-63.0,23.0,2020.0,12.0,2,0,20511.0,2119.0,-24.0,-53.0
2020-12-31,2122.0,-53.0,14.0,-67.0,24.0,2020.0,12.0,3,0,21306.0,1905.0,-24.0,-65.0
2021-01-01,2162.0,-83.0,-5.0,-82.0,32.0,2021.0,1.0,4,0,22313.0,2030.0,-11.0,-85.0
2021-01-02,2256.0,-68.0,-12.0,-66.0,16.0,2021.0,1.0,5,1,23598.0,2151.0,-3.0,-54.0
2021-01-03,2420.0,-64.0,-8.0,-62.0,11.0,2021.0,1.0,6,1,25088.0,2343.0,2.0,-29.0
2021-01-04,2560.0,-53.0,-16.0,-62.0,19.0,2021.0,1.0,0,0,26069.0,2457.0,-64.0,-77.0
2021-01-05,2645.0,-61.0,-18.0,-63.0,20.0,2021.0,1.0,1,0,26091.0,2253.0,-24.0,-68.0
2021-01-06,2821.0,-62.0,-13.0,-63.0,21.0,2021.0,1.0,2,0,25881.0,2061.0,-24.0,-66.0
2021-01-07,2929.0,-62.0,-9.0,-64.0,21.0,2021.0,1.0,3,0,27039.0,2164.0,-17.0,-69.0
2021-01-08,3098.0,-64.0,-21.0,-64.0,22.0,2021.0,1.0,4,0,28500.0,2505.0,-21.0,-83.0
